,tweet_id,username,text,tweet_link,created_at,mined_at,hashtag_used,Match No,Date,Time (IST),Teams,Round,Venue,Result,clean_datetime_of_match_ist,clean_datetime_of_match_est,clean_datetime_of_match_utc,team_1,team_2,winner_of_match,result_by_wickets,result_by_runs,result_quantity,winner_of_match_expanded,team_1_alias,team_2_alias,hashtag1,hashtag2
1874,1457705706853781513,TejjalExpressN,"A look at #TeamIndia's Playing XI for the game against Namibia. 🔽

#T20WorldCup #INDvNAM
@ramkaran_jakhar https://t.co/vZueezsSxb",https://twitter.com/TejjalExpressN/status/1457705706853781513,2021-11-08 13:44:58+00:00,2021-12-10 02:05:27.162636,INDvNAM,42,08-Nov-21,7:30 PM,india vs namibia,Super 12,Dubai,IND won by 9 wickets (28 ball left),2021-11-08 19:30:00+05:30,2021-11-08 09:00:00-05:00,2021-11-08 14:00:00.000000,india,namibia,IND,True,False,9,india,IND,NAM,INDvNAM,NAMvIND
1875,1457705648783757318,PakPassion,"India have won the toss and have opted to field in the final game of the Super 12 stage

Discuss at:

https://t.co/aWyGyIJydW

#T20WorldCup #INDvNAM https://t.co/FSKs3tsAQg",https://twitter.com/PakPassion/status/1457705648783757318,2021-11-08 13:44:44+00:00,2021-12-10 02:05:27.194634,INDvNAM,42,08-Nov-21,7:30 PM,india vs namibia,Super 12,Dubai,IND won by 9 wickets (28 ball left),2021-11-08 19:30:00+05:30,2021-11-08 09:00:00-05:00,2021-11-08 14:00:00.000000,india,namibia,IND,True,False,9,india,IND,NAM,INDvNAM,NAMvIND
1876,1457705579502256133,AlexHartley93,Virat Kohli’s last game as India T20 captain… bowls first to get the game done and dusted? 👀 #T20WorldCup #Kohli #INDvNAM,https://twitter.com/AlexHartley93/status/1457705579502256133,2021-11-08 13:44:27+00:00,2021-12-10 02:05:27.272620,INDvNAM,42,08-Nov-21,7:30 PM,india vs namibia,Super 12,Dubai,IND won by 9 wickets (28 ball left),2021-11-08 19:30:00+05:30,2021-11-08 09:00:00-05:00,2021-11-08 14:00:00.000000,india,namibia,IND,True,False,9,india,IND,NAM,INDvNAM,NAMvIND
1877,1457705549324161024,RS_02,"#INDvNAM Super 12 Group 2: India win the toss and opt to bowl first against Namibia in Virat Kohli's last match as T20I captain

#T20WorldCup #Cricket #TeamIndia https://t.co/hmGOqKKBMp",https://twitter.com/RS_02/status/1457705549324161024,2021-11-08 13:44:20+00:00,2021-12-10 02:05:27.315621,INDvNAM,42,08-Nov-21,7:30 PM,india vs namibia,Super 12,Dubai,IND won by 9 wickets (28 ball left),2021-11-08 19:30:00+05:30,2021-11-08 09:00:00-05:00,2021-11-08 14:00:00.000000,india,namibia,IND,True,False,9,india,IND,NAM,INDvNAM,NAMvIND
1878,1457705536439291909,cricgram,"My Final Team

Go with Your C &amp; Vc

If you want then you can pick Ravindra Jadeja in place of Virat Kohli

#T20WorldCup #dream11Prediction #INDvsNAM #INDvNAM https://t.co/vYzUbuWKT1",https://twitter.com/cricgram/status/1457705536439291909,2021-11-08 13:44:17+00:00,2021-12-10 02:05:27.339638,INDvNAM,42,08-Nov-21,7:30 PM,india vs namibia,Super 12,Dubai,IND won by 9 wickets (28 ball left),2021-11-08 19:30:00+05:30,2021-11-08 09:00:00-05:00,2021-11-08 14:00:00.000000,india,namibia,IND,True,False,9,india,IND,NAM,INDvNAM,NAMvIND
1879,1457705510619136007,SagarJadav,Captain Kohli to lead Team India in T-20s for one last time tonight. Let’s go King! 👑 ❤️ 🇮🇳 #INDvNAM #T20WorldCup,https://twitter.com/SagarJadav/status/1457705510619136007,2021-11-08 13:44:11+00:00,2021-12-10 02:05:27.371638,INDvNAM,42,08-Nov-21,7:30 PM,india vs namibia,Super 12,Dubai,IND won by 9 wickets (28 ball left),2021-11-08 19:30:00+05:30,2021-11-08 09:00:00-05:00,2021-11-08 14:00:00.000000,india,namibia,IND,True,False,9,india,IND,NAM,INDvNAM,NAMvIND
1880,1457705505619468289,Cricketracker,"Can India end their campaign on high with a win against Namibia?

#INDvNAM #India #Namibia #T20WorldCup https://t.co/Sdcp9bJrbM",https://twitter.com/Cricketracker/status/1457705505619468289,2021-11-08 13:44:10+00:00,2021-12-10 02:05:27.381640,INDvNAM,42,08-Nov-21,7:30 PM,india vs namibia,Super 12,Dubai,IND won by 9 wickets (28 ball left),2021-11-08 19:30:00+05:30,2021-11-08 09:00:00-05:00,2021-11-08 14:00:00.000000,india,namibia,IND,True,False,9,india,IND,NAM,INDvNAM,NAMvIND
1881,1457705456382713858,AimenJavaid8,"India have won the toss &amp; chose to bowl first against Namibia.
#INDvNAM #India #Namibia #T20WorldCup",https://twitter.com/AimenJavaid8/status/1457705456382713858,2021-11-08 13:43:58+00:00,2021-12-10 02:05:27.391623,INDvNAM,42,08-Nov-21,7:30 PM,india vs namibia,Super 12,Dubai,IND won by 9 wickets (28 ball left),2021-11-08 19:30:00+05:30,2021-11-08 09:00:00-05:00,2021-11-08 14:00:00.000000,india,namibia,IND,True,False,9,india,IND,NAM,INDvNAM,NAMvIND
1882,1457705433578098695,Soumyahere17,So Varun CV ends his #T20WorldCup without any wicket... Will we get to see more of his mystery spin in the upcoming time 🤔🤔 #T20WorldCup #t20worldcup2021 #INDvNAM,https://twitter.com/Soumyahere17/status/1457705433578098695,2021-11-08 13:43:52+00:00,2021-12-10 02:05:27.427625,INDvNAM,42,08-Nov-21,7:30 PM,india vs namibia,Super 12,Dubai,IND won by 9 wickets (28 ball left),2021-11-08 19:30:00+05:30,2021-11-08 09:00:00-05:00,2021-11-08 14:00:00.000000,india,namibia,IND,True,False,9,india,IND,NAM,INDvNAM,NAMvIND
1883,1457705418529009665,CricPrasen,"Virat Kohli after the toss 🗣

""It's been an honour to captain India &amp; I've done my best. The shortest format has to give way for the longest format. I've been grateful for the opportunity.""

(1/2)

#INDvNAM | #T20WorldCup",https://twitter.com/CricPrasen/status/1457705418529009665,2021-11-08 13:43:49+00:00,2021-12-10 02:05:27.449619,INDvNAM,42,08-Nov-21,7:30 PM,india vs namibia,Super 12,Dubai,IND won by 9 wickets (28 ball left),2021-11-08 19:30:00+05:30,2021-11-08 09:00:00-05:00,2021-11-08 14:00:00.000000,india,namibia,IND,True,False,9,india,IND,NAM,INDvNAM,NAMvIND
1884,1457705413231534080,InsideSportIND,"Virat Kohli gets lucky with toss, opts to bowl against Namibia in his last T20I as Captain

#T20WorldCup #INDvNAM https://t.co/mqaMlSKIBF",https://twitter.com/InsideSportIND/status/1457705413231534080,2021-11-08 13:43:48+00:00,2021-12-10 02:05:27.460642,INDvNAM,42,08-Nov-21,7:30 PM,india vs namibia,Super 12,Dubai,IND won by 9 wickets (28 ball left),2021-11-08 19:30:00+05:30,2021-11-08 09:00:00-05:00,2021-11-08 14:00:00.000000,india,namibia,IND,True,False,9,india,IND,NAM,INDvNAM,NAMvIND
1885,1457705390129381386,sportzcraazy,"India won the toss against Namibia and elected to bowl first.

This is the last match for Virat Kohli as T20I captain.

#INDvNAM #T20WorldCup2021 #India #Namibia #T20WorldCup #Cricket #sportzcraazy #followus https://t.co/nssTCvflAs",https://twitter.com/sportzcraazy/status/1457705390129381386,2021-11-08 13:43:42+00:00,2021-12-10 02:05:27.502621,INDvNAM,42,08-Nov-21,7:30 PM,india vs namibia,Super 12,Dubai,IND won by 9 wickets (28 ball left),2021-11-08 19:30:00+05:30,2021-11-08 09:00:00-05:00,2021-11-08 14:00:00.000000,india,namibia,IND,True,False,9,india,IND,NAM,INDvNAM,NAMvIND
1886,1457705381417799682,FanCode,"#ViratKohli wins the toss in his last T20I as captain in #Dubai tonight. 🔥

#TeamIndia have opted to bowl against #Namibia.

Follow #INDvNAM LIVE, on #FanCode 👉 https://t.co/Q7bmhV2GsV

#CricketOnFanCode #T20WConFanCode #T20WorldCup",https://twitter.com/FanCode/status/1457705381417799682,2021-11-08 13:43:40+00:00,2021-12-10 02:05:27.523642,INDvNAM,42,08-Nov-21,7:30 PM,india vs namibia,Super 12,Dubai,IND won by 9 wickets (28 ball left),2021-11-08 19:30:00+05:30,2021-11-08 09:00:00-05:00,2021-11-08 14:00:00.000000,india,namibia,IND,True,False,9,india,IND,NAM,INDvNAM,NAMvIND
1887,1457705352733106178,ShaYanVK18,"🚨 Toss Update 🚨

#TeamIndia have elected to bowl against Namibia 👍

#T20WorldCup #INDvNAM https://t.co/vxRg8ldM1U",https://twitter.com/ShaYanVK18/status/1457705352733106178,2021-11-08 13:43:33+00:00,2021-12-10 02:05:27.544640,INDvNAM,42,08-Nov-21,7:30 PM,india vs namibia,Super 12,Dubai,IND won by 9 wickets (28 ball left),2021-11-08 19:30:00+05:30,2021-11-08 09:00:00-05:00,2021-11-08 14:00:00.000000,india,namibia,IND,True,False,9,india,IND,NAM,INDvNAM,NAMvIND
